PassengerId,Survived,Pclass,Sex,Age,Count
150,0,2,male,42,1
151,0,2,male,51,1
152,1,1,female,22,1
153,0,3,male,55.5,1
154,0,3,male,40.5,1
155,0,3,male,,1
156,0,1,male,51,1
157,1,3,female,16,1
158,0,3,male,30,1
159,0,3,male,,1
160,0,3,male,,1
161,0,3,male,44,1
162,1,2,female,40,1
163,0,3,male,26,1
164,0,3,male,17,1
165,0,3,male,1,1
166,1,3,male,9,1
167,1,1,female,,1
168,0,3,female,45,1
169,0,1,male,,1
170,0,3,male,28,1
171,0,1,male,61,1
172,0,3,male,4,1
173,1,3,female,1,1
174,0,3,male,21,1
175,0,1,male,56,1
176,0,3,male,18,1
177,0,3,male,,1
178,0,1,female,50,1
179,0,2,male,30,1
180,0,3,male,36,1
181,0,3,female,,1
182,0,2,male,,1
183,0,3,male,9,1
184,1,2,male,1,1
185,1,3,female,4,1
186,0,1,male,,1
187,1,3,female,,1
188,1,1,male,45,1
189,0,3,male,40,1
190,0,3,male,36,1
191,1,2,female,32,1
192,0,2,male,19,1
193,1,3,female,19,1
194,1,2,male,3,1
195,1,1,female,44,1
196,1,1,female,58,1
197,0,3,male,,1
198,0,3,male,42,1
199,1,3,female,,1
200,0,2,female,24,1
201,0,3,male,28,1
202,0,3,male,,1
203,0,3,male,34,1
204,0,3,male,45.5,1
205,1,3,male,18,1
206,0,3,female,2,1
207,0,3,male,32,1
208,1,3,male,26,1
209,1,3,female,16,1
210,1,1,male,40,1
211,0,3,male,24,1
212,1,2,female,35,1
213,0,3,male,22,1
214,0,2,male,30,1
215,0,3,male,,1
216,1,1,female,31,1
217,1,3,female,27,1
218,0,2,male,42,1
219,1,1,female,32,1
220,0,2,male,30,1
221,1,3,male,16,1
222,0,2,male,27,1
223,0,3,male,51,1
224,0,3,male,,1
225,1,1,male,38,1
226,0,3,male,22,1
227,1,2,male,19,1
228,0,3,male,20.5,1
229,0,2,male,18,1
230,0,3,female,,1
231,1,1,female,35,1
232,0,3,male,29,1
233,0,2,male,59,1
234,1,3,female,5,1
235,0,2,male,24,1
236,0,3,female,,1
237,0,2,male,44,1
238,1,2,female,8,1
239,0,2,male,19,1
240,0,2,male,33,1
241,0,3,female,,1
242,1,3,female,,1
243,0,2,male,29,1
244,0,3,male,22,1
245,0,3,male,30,1
246,0,1,male,44,1
247,0,3,female,25,1
248,1,2,female,24,1
249,1,1,male,37,1
250,0,2,male,54,1
251,0,3,male,,1
252,0,3,female,29,1
253,0,1,male,62,1
254,0,3,male,30,1
255,0,3,female,41,1
256,1,3,female,29,1
257,1,1,female,,1
258,1,1,female,30,1
259,1,1,female,35,1
260,1,2,female,50,1
261,0,3,male,,1
262,1,3,male,3,1
263,0,1,male,52,1
264,0,1,male,40,1
265,0,3,female,,1
266,0,2,male,36,1
267,0,3,male,16,1
268,1,3,male,25,1
269,1,1,female,58,1
270,1,1,female,35,1
271,0,1,male,,1
272,1,3,male,25,1
273,1,2,female,41,1
274,0,1,male,37,1
275,1,3,female,,1
276,1,1,female,63,1
277,0,3,female,45,1
278,0,2,male,,1
279,0,3,male,7,1
280,1,3,female,35,1
281,0,3,male,65,1
282,0,3,male,28,1
283,0,3,male,16,1
284,1,3,male,19,1
285,0,1,male,,1
286,0,3,male,33,1
287,1,3,male,30,1
288,0,3,male,22,1
289,1,2,male,42,1
290,1,3,female,22,1
291,1,1,female,26,1
292,1,1,female,19,1
293,0,2,male,36,1
294,0,3,female,24,1
295,0,3,male,24,1
296,0,1,male,,1
297,0,3,male,23.5,1
298,0,1,female,2,1
299,1,1,male,,1
300,1,1,female,50,1
301,1,3,female,,1
302,1,3,male,,1
303,0,3,male,19,1
304,1,2,female,,1
305,0,3,male,,1
306,1,1,male,0.92,1
307,1,1,female,,1
308,1,1,female,17,1
309,0,2,male,30,1
310,1,1,female,30,1
311,1,1,female,24,1
312,1,1,female,18,1
313,0,2,female,26,1
314,0,3,male,28,1
315,0,2,male,43,1
316,1,3,female,26,1
317,1,2,female,24,1
318,0,2,male,54,1
319,1,1,female,31,1
320,1,1,female,40,1
321,0,3,male,22,1
322,0,3,male,27,1
323,1,2,female,30,1
324,1,2,female,22,1
325,0,3,male,,1
326,1,1,female,36,1
327,0,3,male,61,1
328,1,2,female,36,1
329,1,3,female,31,1
330,1,1,female,16,1
331,1,3,female,,1
332,0,1,male,45.5,1
333,0,1,male,38,1
334,0,3,male,16,1
335,1,1,female,,1
336,0,3,male,,1
337,0,1,male,29,1
338,1,1,female,41,1
339,1,3,male,45,1
340,0,1,male,45,1
341,1,2,male,2,1
342,1,1,female,24,1
343,0,2,male,28,1
344,0,2,male,25,1
345,0,2,male,36,1
346,1,2,female,24,1
347,1,2,female,40,1
348,1,3,female,,1
349,1,3,male,3,1
350,0,3,male,42,1
351,0,3,male,23,1
352,0,1,male,,1
353,0,3,male,15,1
354,0,3,male,25,1
355,0,3,male,,1
356,0,3,male,28,1
357,1,1,female,22,1
358,0,2,female,38,1
359,1,3,female,,1
360,1,3,female,,1
361,0,3,male,40,1
362,0,2,male,29,1
363,0,3,female,45,1
364,0,3,male,35,1
365,0,3,male,,1
366,0,3,male,30,1
367,1,1,female,60,1
368,1,3,female,,1
369,1,3,female,,1
370,1,1,female,24,1
371,1,1,male,25,1
372,0,3,male,18,1
373,0,3,male,19,1
374,0,1,male,22,1
375,0,3,female,3,1
376,1,1,female,,1
377,1,3,female,22,1
378,0,1,male,27,1
379,0,3,male,20,1
380,0,3,male,19,1
381,1,1,female,42,1
382,1,3,female,1,1
383,0,3,male,32,1
384,1,1,female,35,1
385,0,3,male,,1
386,0,2,male,18,1
387,0,3,male,1,1
388,1,2,female,36,1
389,0,3,male,,1
390,1,2,female,17,1
391,1,1,male,36,1
392,1,3,male,21,1
393,0,3,male,28,1
394,1,1,female,23,1
395,1,3,female,24,1
396,0,3,male,22,1
397,0,3,female,31,1
398,0,2,male,46,1
399,0,2,male,23,1
400,1,2,female,28,1
401,1,3,male,39,1
402,0,3,male,26,1
403,0,3,female,21,1
404,0,3,male,28,1
405,0,3,female,20,1
406,0,2,male,34,1
407,0,3,male,51,1
408,1,2,male,3,1
409,0,3,male,21,1
410,0,3,female,,1
411,0,3,male,,1
412,0,3,male,,1
413,1,1,female,33,1
414,0,2,male,,1
415,1,3,male,44,1
416,0,3,female,,1
417,1,2,female,34,1
418,1,2,female,18,1
419,0,2,male,30,1
420,0,3,female,10,1
421,0,3,male,,1
422,0,3,male,21,1
423,0,3,male,29,1
424,0,3,female,28,1
425,0,3,male,18,1
426,0,3,male,,1
427,1,2,female,28,1
428,1,2,female,19,1
429,0,3,male,,1
430,1,3,male,32,1
431,1,1,male,28,1
432,1,3,female,,1
433,1,2,female,42,1
434,0,3,male,17,1
435,0,1,male,50,1
436,1,1,female,14,1
437,0,3,female,21,1
438,1,2,female,24,1
439,0,1,male,64,1
440,0,2,male,31,1
441,1,2,female,45,1
442,0,3,male,20,1
443,0,3,male,25,1
444,1,2,female,28,1
445,1,3,male,,1
446,1,1,male,4,1
447,1,2,female,13,1
448,1,1,male,34,1
449,1,3,female,5,1
450,1,1,male,52,1
451,0,2,male,36,1
452,0,3,male,,1
453,0,1,male,30,1
454,1,1,male,49,1
455,0,3,male,,1
456,1,3,male,29,1
457,0,1,male,65,1
458,1,1,female,,1
459,1,2,female,50,1
460,0,3,male,,1
461,1,1,male,48,1
462,0,3,male,34,1
463,0,1,male,47,1
464,0,2,male,48,1
465,0,3,male,,1
466,0,3,male,38,1
467,0,2,male,,1
468,0,1,male,56,1
469,0,3,male,,1
470,1,3,female,0.75,1
471,0,3,male,,1
472,0,3,male,38,1
473,1,2,female,33,1
474,1,2,female,23,1
475,0,3,female,22,1
476,0,1,male,,1
477,0,2,male,34,1
478,0,3,male,29,1
479,0,3,male,22,1
480,1,3,female,2,1
481,0,3,male,9,1
482,0,2,male,,1
483,0,3,male,50,1
484,1,3,female,63,1
485,1,1,male,25,1
486,0,3,female,,1
487,1,1,female,35,1
488,0,1,male,58,1
489,0,3,male,30,1
490,1,3,male,9,1
491,0,3,male,,1
492,0,3,male,21,1
493,0,1,male,55,1
494,0,1,male,71,1
495,0,3,male,21,1
496,0,3,male,,1
497,1,1,female,54,1
498,0,3,male,,1
499,0,1,female,25,1
500,0,3,male,24,1
501,0,3,male,17,1
502,0,3,female,21,1
503,0,3,female,,1
504,0,3,female,37,1
505,1,1,female,16,1
506,0,1,male,18,1
507,1,2,female,33,1
508,1,1,male,,1
509,0,3,male,28,1
510,1,3,male,26,1
511,1,3,male,29,1
512,0,3,male,,1
513,1,1,male,36,1
514,1,1,female,54,1
515,0,3,male,24,1
516,0,1,male,47,1
517,1,2,female,34,1
518,0,3,male,,1
519,1,2,female,36,1
520,0,3,male,32,1
521,1,1,female,30,1
522,0,3,male,22,1
523,0,3,male,,1
524,1,1,female,44,1
525,0,3,male,,1
526,0,3,male,40.5,1
527,1,2,female,50,1
528,0,1,male,,1
529,0,3,male,39,1
530,0,2,male,23,1
531,1,2,female,2,1
532,0,3,male,,1
533,0,3,male,17,1
534,1,3,female,,1
535,0,3,female,30,1
536,1,2,female,7,1
537,0,1,male,45,1
538,1,1,female,30,1
539,0,3,male,,1
540,1,1,female,22,1
541,1,1,female,36,1
542,0,3,female,9,1
543,0,3,female,11,1
544,1,2,male,32,1
545,0,1,male,50,1
546,0,1,male,64,1
547,1,2,female,19,1
548,1,2,male,,1
549,0,3,male,33,1
550,1,2,male,8,1
551,1,1,male,17,1
552,0,2,male,27,1
553,0,3,male,,1
554,1,3,male,22,1
555,1,3,female,22,1
556,0,1,male,62,1
557,1,1,female,48,1
558,0,1,male,,1
559,1,1,female,39,1
560,1,3,female,36,1
561,0,3,male,,1
562,0,3,male,40,1
563,0,2,male,28,1
564,0,3,male,,1
565,0,3,female,,1
566,0,3,male,24,1
567,0,3,male,19,1
568,0,3,female,29,1
569,0,3,male,,1
570,1,3,male,32,1
571,1,2,male,62,1
572,1,1,female,53,1
573,1,1,male,36,1
574,1,3,female,,1
575,0,3,male,16,1
576,0,3,male,19,1
577,1,2,female,34,1
578,1,1,female,39,1
579,0,3,female,,1
580,1,3,male,32,1
581,1,2,female,25,1
582,1,1,female,39,1
583,0,2,male,54,1
584,0,1,male,36,1
585,0,3,male,,1
586,1,1,female,18,1
587,0,2,male,47,1
588,1,1,male,60,1
589,0,3,male,22,1
590,0,3,male,,1
591,0,3,male,35,1
592,1,1,female,52,1
593,0,3,male,47,1
594,0,3,female,,1
595,0,2,male,37,1
596,0,3,male,36,1
597,1,2,female,,1
598,0,3,male,49,1
599,0,3,male,,1
600,1,1,male,49,1
601,1,2,female,24,1
602,0,3,male,,1
603,0,1,male,,1
604,0,3,male,44,1
605,1,1,male,35,1
606,0,3,male,36,1
607,0,3,male,30,1
608,1,1,male,27,1
609,1,2,female,22,1
610,1,1,female,40,1
611,0,3,female,39,1
612,0,3,male,,1
613,1,3,female,,1
614,0,3,male,,1
615,0,3,male,35,1
616,1,2,female,24,1
617,0,3,male,34,1
618,0,3,female,26,1
619,1,2,female,4,1
620,0,2,male,26,1
621,0,3,male,27,1
622,1,1,male,42,1
623,1,3,male,20,1
624,0,3,male,21,1
625,0,3,male,21,1
626,0,1,male,61,1
627,0,2,male,57,1
628,1,1,female,21,1
629,0,3,male,26,1
630,0,3,male,,1
631,1,1,male,80,1
632,0,3,male,51,1
633,1,1,male,32,1
634,0,1,male,,1
635,0,3,female,9,1
636,1,2,female,28,1
637,0,3,male,32,1
638,0,2,male,31,1
639,0,3,female,41,1
640,0,3,male,,1
641,0,3,male,20,1
642,1,1,female,24,1
643,0,3,female,2,1
644,1,3,male,,1
645,1,3,female,0.75,1
646,1,1,male,48,1
647,0,3,male,19,1
648,1,1,male,56,1
649,0,3,male,,1
650,1,3,female,23,1
651,0,3,male,,1
652,1,2,female,18,1
653,0,3,male,21,1
654,1,3,female,,1
655,0,3,female,18,1
656,0,2,male,24,1
657,0,3,male,,1
658,0,3,female,32,1
659,0,2,male,23,1
660,0,1,male,58,1
661,1,1,male,50,1
662,0,3,male,40,1
663,0,1,male,47,1
664,0,3,male,36,1
665,1,3,male,20,1
666,0,2,male,32,1
667,0,2,male,25,1
668,0,3,male,,1
669,0,3,male,43,1
670,1,1,female,,1
671,1,2,female,40,1
672,0,1,male,31,1
673,0,2,male,70,1
674,1,2,male,31,1
675,0,2,male,,1
676,0,3,male,18,1
677,0,3,male,24.5,1
678,1,3,female,18,1
679,0,3,female,43,1
680,1,1,male,36,1
681,0,3,female,,1
682,1,1,male,27,1
683,0,3,male,20,1
684,0,3,male,14,1
685,0,2,male,60,1
686,0,2,male,25,1
687,0,3,male,14,1
688,0,3,male,19,1
689,0,3,male,18,1
690,1,1,female,15,1
691,1,1,male,31,1
692,1,3,female,4,1
693,1,3,male,,1
694,0,3,male,25,1
695,0,1,male,60,1
696,0,2,male,52,1
697,0,3,male,44,1
698,1,3,female,,1
699,0,1,male,49,1
700,0,3,male,42,1
701,1,1,female,18,1
702,1,1,male,35,1
703,0,3,female,18,1
704,0,3,male,25,1
705,0,3,male,26,1
706,0,2,male,39,1
707,1,2,female,45,1
708,1,1,male,42,1
709,1,1,female,22,1
710,1,3,male,,1
711,1,1,female,24,1
712,0,1,male,,1
713,1,1,male,48,1
714,0,3,male,29,1
715,0,2,male,52,1
716,0,3,male,19,1
717,1,1,female,38,1
718,1,2,female,27,1
719,0,3,male,,1
720,0,3,male,33,1
721,1,2,female,6,1
722,0,3,male,17,1
723,0,2,male,34,1
724,0,2,male,50,1
725,1,1,male,27,1
726,0,3,male,20,1
727,1,2,female,30,1
728,1,3,female,,1
729,0,2,male,25,1
730,0,3,female,25,1
731,1,1,female,29,1
732,0,3,male,11,1
733,0,2,male,,1
734,0,2,male,23,1
735,0,2,male,23,1
736,0,3,male,28.5,1
737,0,3,female,48,1
738,1,1,male,35,1
739,0,3,male,,1
740,0,3,male,,1
741,1,1,male,,1
742,0,1,male,36,1
743,1,1,female,21,1
744,0,3,male,24,1
745,1,3,male,31,1
746,0,1,male,70,1
747,0,3,male,16,1
748,1,2,female,30,1
749,0,1,male,19,1
750,0,3,male,31,1
751,1,2,female,4,1
752,1,3,male,6,1
753,0,3,male,33,1
754,0,3,male,23,1
755,1,2,female,48,1
756,1,2,male,0.67,1
757,0,3,male,28,1
758,0,2,male,18,1
759,0,3,male,34,1
760,1,1,female,33,1
761,0,3,male,,1
762,0,3,male,41,1
763,1,3,male,20,1
764,1,1,female,36,1
765,0,3,male,16,1
766,1,1,female,51,1
767,0,1,male,,1
768,0,3,female,30.5,1
769,0,3,male,,1
770,0,3,male,32,1
771,0,3,male,24,1
772,0,3,male,48,1
773,0,2,female,57,1
774,0,3,male,,1
775,1,2,female,54,1
776,0,3,male,18,1
777,0,3,male,,1
778,1,3,female,5,1
779,0,3,male,,1
780,1,1,female,43,1
781,1,3,female,13,1
782,1,1,female,17,1
783,0,1,male,29,1
784,0,3,male,,1
785,0,3,male,25,1
786,0,3,male,25,1
787,1,3,female,18,1
788,0,3,male,8,1
789,1,3,male,1,1
790,0,1,male,46,1
791,0,3,male,,1
792,0,2,male,16,1
793,0,3,female,,1
794,0,1,male,,1
795,0,3,male,25,1
796,0,2,male,39,1
797,1,1,female,49,1
798,1,3,female,31,1
799,0,3,male,30,1
800,0,3,female,30,1
801,0,2,male,34,1
802,1,2,female,31,1
803,1,1,male,11,1
804,1,3,male,0.42,1
805,1,3,male,27,1
806,0,3,male,31,1
807,0,1,male,39,1
808,0,3,female,18,1
809,0,2,male,39,1
810,1,1,female,33,1
811,0,3,male,26,1
812,0,3,male,39,1
813,0,2,male,35,1
814,0,3,female,6,1
815,0,3,male,30.5,1
816,0,1,male,,1
817,0,3,female,23,1
818,0,2,male,31,1
819,0,3,male,43,1
820,0,3,male,10,1
821,1,1,female,52,1
822,1,3,male,27,1
823,0,1,male,38,1
824,1,3,female,27,1
825,0,3,male,2,1
826,0,3,male,,1
827,0,3,male,,1
828,1,2,male,1,1
829,1,3,male,,1
830,1,1,female,62,1
831,1,3,female,15,1
832,1,2,male,0.83,1
833,0,3,male,,1
834,0,3,male,23,1
835,0,3,male,18,1
836,1,1,female,39,1
837,0,3,male,21,1
838,0,3,male,,1
839,1,3,male,32,1
840,1,1,male,,1
841,0,3,male,20,1
842,0,2,male,16,1
843,1,1,female,30,1
844,0,3,male,34.5,1
845,0,3,male,17,1
846,0,3,male,42,1
847,0,3,male,,1
848,0,3,male,35,1
849,0,2,male,28,1
850,1,1,female,,1
851,0,3,male,4,1
852,0,3,male,74,1
853,0,3,female,9,1
854,1,1,female,16,1
855,0,2,female,44,1
856,1,3,female,18,1
857,1,1,female,45,1
858,1,1,male,51,1
859,1,3,female,24,1
860,0,3,male,,1
861,0,3,male,41,1
862,0,2,male,21,1
863,1,1,female,48,1
864,0,3,female,,1
865,0,2,male,24,1
866,1,2,female,42,1
867,1,2,female,27,1
868,0,1,male,31,1
869,0,3,male,,1
870,1,3,male,4,1
871,0,3,male,26,1
872,1,1,female,47,1
873,0,1,male,33,1
874,0,3,male,47,1
875,1,2,female,28,1
876,1,3,female,15,1
877,0,3,male,20,1
878,0,3,male,19,1
879,0,3,male,,1
880,1,1,female,56,1
881,1,2,female,25,1
882,0,3,male,33,1
883,0,3,female,22,1
884,0,2,male,28,1
885,0,3,male,25,1
886,0,3,female,39,1
887,0,2,male,27,1
888,1,1,female,19,1
889,0,3,female,,1
890,1,1,male,26,1
891,0,3,male,32,1
